Seq,RAdeg,DEdeg,Fprob,Pany,Deep,D20,FFlux_bay,HFlux_bay,SFlux_bay,Source_Name_1,RA_1,DEC_1,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,S_Code,FLAG_DEEP,flag_clean,Z_BEST,Z_BEST_SOURCE,Z_SPEC,Z_SOURCE,Z_QUAL,Cat,SFR_cons,Radio_excess,RadioAGN_final
5,217.632514,32.3626831,1.8243E-51,0.998298,1,24793,6.23467267891914E-14,2.3620048261532248E-14,2.266456978781072E-14,ILTJ143031.81+322145.8,217.63255431392824,32.36274429517996,0.001635852927000032,1.1993026316685299E-4,0.0013330996842876662,6.0123514061258046E-5,S,1,1,2.0131,0.0,,,,Bootes,3.19,-0.15,0
8,218.0590064,32.3746069,3.1104E-6,0.461114,1,29936,5.1935987030620915E-15,-4.3446782746958003E-16,2.6053234100087284E-15,ILTJ143214.13+322230.3,218.05886799841767,32.375088637867535,0.9478232446802481,0.00237836775682456,0.6022823072152396,5.802674184087664E-4,M,1,1,1.6338,0.0,,,,Bootes,1.91,3.8,1
20,217.4969093,32.4103474,1.5835E-39,0.996885,1,44480,5.3363070214726464E-14,-5.386382308962762E-15,2.4733658156929706E-14,ILTJ142959.21+322437.5,217.49669640863928,32.41042285986781,0.0010393765666485305,1.0416043382827276E-4,9.493743493667915E-4,5.649886875955624E-5,S,1,1,0.1507425,1.0,0.1507425,2,4,Bootes,0.23,0.3,0
28,217.2460173,32.4185823,1.0109E-107,0.999459,1,47879,9.834311583628837E-14,7.09684213528479E-14,3.086360601511864E-14,ILTJ142859.04+322506.9,217.24600931669258,32.418582518536844,5.005625381545772E-4,9.124630857802952E-5,5.689704111981991E-4,5.723128496772852E-5,S,1,1,0.6264359,1.0,0.6264359,2,4,Bootes,1.63,-0.14,0
29,217.7014404,32.425405,3.6363E-8,0.942458,1,50872,7.500404918857639E-15,1.592628128664946E-14,-2.939848994386912E-17,ILTJ143048.35+322532.4,217.7014653243193,32.425680791494905,0.0010093001675730935,1.4891578783762913E-4,8.055241125793736E-4,5.805051702191122E-5,M,1,1,1.6465,0.0,,,,Bootes,2.23,0.48,0
44,216.160323,32.4476712,1.2414E-7,0.982214,1,59980,1.4450046616462046E-14,-5.324042828038154E-15,5.075017489025541E-15,ILTJ142438.44+322650.0,216.16016146669372,32.44723132298553,0.011160572124456557,4.971242121544629E-4,0.008376438919195962,7.792112457536859E-5,M,1,1,1.2046,0.0,,,,Bootes,2.5,0.92,1
47,217.9549288,32.462199,2.5304E-18,0.994879,1,66003,1.982667500637277E-14,2.216100016489475E-14,3.934766398202455E-15,ILTJ143149.04+322744.4,217.95433530298305,32.46234707490053,7.119036411781725E-4,1.7238493731172567E-4,3.944568626714107E-4,6.508948857623664E-5,M,1,1,0.4877,0.0,,,,Bootes,1.2,0.22,0
69,217.2475328,32.4800012,6.2124E-51,0.998146,1,73090,5.047173446619059E-14,7.426676236618841E-14,5.580528690265451E-15,ILTJ142859.40+322847.9,217.24749527756967,32.47998316369437,6.895301347826909E-4,1.1251479637530523E-4,5.896604819417547E-4,5.830728271616718E-5,S,1,1,0.2417,0.0,,,,Bootes,1.16,-0.44,0
70,217.2422803,32.4808229,1.7681E-18,0.997034,1,73375,1.9484298932764964E-14,9.227051277912439E-15,5.040997797590315E-15,ILTJ142858.08+322850.3,217.24201975289367,32.48065654752494,9.250633026507311E-4,1.0346565123623795E-4,8.662572903617047E-4,5.7126905902548764E-5,S,1,1,2.21625,1.0,2.21625,2,4,Bootes,2.1,0.88,0
73,217.5398403,32.4841076,2.909E-24,0.997967,0,74690,2.2890360914210344E-14,-4.697411180547833E-15,8.958207125690588E-15,ILTJ143009.53+322902.6,217.53969560363976,32.48406575888367,0.0012070830011277484,1.3828183060246135E-4,7.67721981139909E-4,5.743663096734215E-5,Z,0,1,1.2015,0.0,,,,Bootes,1.46,1.08,1
75,217.1809041,32.4852122,4.6301E-10,0.997197,1,75089,5.460556183278186E-15,1.6654591580977093E-15,1.5736694964648732E-15,ILTJ142843.41+322907.0,217.18086201729537,32.48530241281063,0.0016470509642354607,2.4427255283176265E-4,9.105992318774915E-4,5.9363533269788605E-5,M,1,1,0.2971,0.0,,,,Bootes,1.53,-0.25,0
76,216.802383,32.4857062,6.8602E-8,0.998922,0,75330,6.336341981020577E-15,-7.0671929555893E-16,1.8352766776859313E-15,ILTJ142712.56+322908.5,216.80232634141865,32.48571876454748,7.02445536094049E-4,1.6954723401627888E-4,4.924701740244042E-4,7.602536166513911E-5,S,1,1,0.3732,0.0,,,,Bootes,0.77,0.42,0
89,216.3659994,32.4948841,1.4633E-44,0.996636,1,79111,4.3610333020617984E-14,6.153202137412896E-14,5.372732734743233E-15,ILTJ142527.81+322940.1,216.36586648315065,32.494487552475476,0.0011302624312744772,1.392428118480964E-4,9.954947015406012E-4,7.305431435952017E-5,S,1,1,0.3018,0.0,,,,Bootes,2.33,-1.27,0
101,216.2806162,32.5271868,6.5322E-176,0.998513,0,92469,1.559849036143584E-13,1.147163918105552E-13,4.9204208066958786E-14,ILTJ142507.30+323137.0,216.28042399571925,32.526955195659184,0.01905469735837407,3.861488887669446E-4,0.015651170175088786,7.737518916837871E-5,M,1,1,0.4898,0.0,,,,Bootes,2.14,0.64,0
