# logfx[erg/s/cm2], area[deg2]
-1.700000000000000000e+01,3.579025824662608073e-06
-1.694999999999999929e+01,3.694129338711708250e-06
-1.689999999999999858e+01,3.826849594370165735e-06
-1.684999999999999787e+01,3.980400591258605261e-06
-1.679999999999999716e+01,4.158726979606039603e-06
-1.674999999999999645e+01,4.366710057251986801e-06
-1.669999999999999574e+01,4.610443242422986116e-06
-1.664999999999999503e+01,4.897604090302440454e-06
-1.659999999999999432e+01,5.237961817215701553e-06
-1.654999999999999361e+01,5.644076994506580833e-06
-1.649999999999999289e+01,6.132276678251951674e-06
-1.644999999999999218e+01,6.724028656690672459e-06
-1.639999999999999147e+01,7.447900560712643336e-06
-1.634999999999999076e+01,8.342385942479205491e-06
-1.629999999999999005e+01,9.460030716314580510e-06
-1.624999999999998934e+01,1.087353358912008040e-05
-1.619999999999998863e+01,1.268487994751229874e-05
-1.614999999999998792e+01,1.503919547233771926e-05
-1.609999999999998721e+01,1.814603556676665973e-05
-1.604999999999998650e+01,2.231253742326125392e-05
-1.599999999999998579e+01,2.799573377198679772e-05
-1.594999999999998508e+01,3.588619783585500635e-05
-1.589999999999998437e+01,4.704352263195969247e-05
-1.584999999999998366e+01,6.311850685797138025e-05
-1.579999999999998295e+01,8.672184215917141796e-05
-1.574999999999998224e+01,1.220424786447581005e-04
-1.569999999999998153e+01,1.758944000885787290e-04
-1.564999999999998082e+01,2.595016759058310142e-04
-1.559999999999998010e+01,3.915573037142207704e-04
-1.554999999999997939e+01,6.034736207722436003e-04
-1.549999999999997868e+01,9.483735365937493280e-04
-1.544999999999997797e+01,1.516374904027030339e-03
-1.539999999999997726e+01,2.460218748621265366e-03
-1.534999999999997655e+01,4.037312883204437902e-03
-1.529999999999997584e+01,6.676495439029148278e-03
-1.524999999999997513e+01,1.107914510265091586e-02
-1.519999999999997442e+01,1.836199900854408248e-02
-1.514999999999997371e+01,3.023820433710055003e-02
-1.509999999999997300e+01,4.920665899739686683e-02
-1.504999999999997229e+01,7.867172390345417154e-02
-1.499999999999997158e+01,1.228503323961957494e-01
-1.494999999999997087e+01,1.862711832383673882e-01
-1.489999999999997016e+01,2.726982244170435554e-01
-1.484999999999996945e+01,3.835065614941137180e-01
-1.479999999999996874e+01,5.159386222889001949e-01
-1.474999999999996803e+01,6.621282623167413783e-01
-1.469999999999996732e+01,8.099112260506778904e-01
-1.464999999999996660e+01,9.458023801530148766e-01
-1.459999999999996589e+01,1.059149601830922993e+00
-1.454999999999996518e+01,1.145302157451239644e+00
-1.449999999999996447e+01,1.205949390497614182e+00
-1.444999999999996376e+01,1.246722858119029942e+00
-1.439999999999996305e+01,1.274000722708668931e+00
-1.434999999999996234e+01,1.292844340319655227e+00
-1.429999999999996163e+01,1.306518957094865208e+00
-1.424999999999996092e+01,1.316897615948148026e+00
-1.419999999999996021e+01,1.325004792367111328e+00
-1.414999999999995950e+01,1.331405388063214623e+00
-1.409999999999995879e+01,1.336434235449684316e+00
-1.404999999999995808e+01,1.340323100671885648e+00
-1.399999999999995737e+01,1.343265837716048683e+00
-1.394999999999995666e+01,1.345444720899040103e+00
-1.389999999999995595e+01,1.347032795405079586e+00
-1.384999999999995524e+01,1.348184835464691478e+00
-1.379999999999995453e+01,1.349027980858179321e+00
-1.374999999999995381e+01,1.349658215496540636e+00
-1.369999999999995310e+01,1.350142712319777782e+00
-1.364999999999995239e+01,1.350525437795645711e+00
-1.359999999999995168e+01,1.350833863429578230e+00
-1.354999999999995097e+01,1.351085108019334458e+00
-1.349999999999995026e+01,1.351290297897361103e+00
-1.344999999999994955e+01,1.351457160505827426e+00
-1.339999999999994884e+01,1.351591653103513480e+00
-1.334999999999994813e+01,1.351699045964662060e+00
-1.329999999999994742e+01,1.351784377662438308e+00
-1.324999999999994671e+01,1.351852337332047904e+00
-1.319999999999994600e+01,1.351906952050545119e+00
-1.314999999999994529e+01,1.351951424935054380e+00
-1.309999999999994458e+01,1.351988185867394332e+00
-1.304999999999994387e+01,1.352019037024127845e+00
-1.299999999999994316e+01,1.352045295956914250e+00
-1.294999999999994245e+01,1.352067916875562048e+00
-1.289999999999994174e+01,1.352087596204699871e+00
-1.284999999999994102e+01,1.352104857921368586e+00
-1.279999999999994031e+01,1.352120112022680010e+00
-1.274999999999993960e+01,1.352133689550328421e+00
-1.269999999999993889e+01,1.352145864108181383e+00
-1.264999999999993818e+01,1.352156867102000115e+00
-1.259999999999993747e+01,1.352166897628376718e+00
-1.254999999999993676e+01,1.352176124630905862e+00
-1.249999999999993605e+01,1.352184681221236584e+00
-1.244999999999993534e+01,1.352192657146381150e+00
-1.239999999999993463e+01,1.352200099244332820e+00
-1.234999999999993392e+01,1.352207025691420039e+00
-1.229999999999993321e+01,1.352213449686377356e+00
-1.224999999999993250e+01,1.352219400288416695e+00
-1.219999999999993179e+01,1.352224929165133149e+00
-1.214999999999993108e+01,1.352230101299517262e+00
-1.209999999999993037e+01,1.352234977711405772e+00
-1.204999999999992966e+01,1.352239601363303567e+00
