,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,,,,,,,,,
21.45,,,,,,,,,,
22.18,,,,,,,,,,
22.91,,,,,,,,,,
23.64,,,,,,1.762875412131747e-05,3.1356404404585424e-06,8.866748530146931e-07,,
24.36,,,,,,1.2531463955586471e-05,3.67180806432834e-06,1.9362613010814317e-06,8.05018327472732e-08,
25.09,,,,,,2.2549630300493883e-06,4.0039008174663517e-07,2.4728989666883694e-07,1.447285813959162e-07,
25.82,,,,,,1.1274815150246942e-06,1.7795114744294898e-07,5.29906921433222e-08,3.216190697687027e-08,
26.55,,,,,,,4.4487786860737245e-08,5.29906921433222e-08,3.216190697687027e-08,
27.27,,,,,,,8.897557372147449e-08,1.7663564047774066e-08,,
28.0,,,,,,,,,,
