,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,,,,,,,,,
21.45,,,,,,,,,,
22.18,,,,,,,,,,
22.91,,,,,,2.3981509831428503e-06,,,,
23.64,,,,,,3.775922851508201e-06,1.974300511831782e-06,1.0872739472290434e-06,,
24.36,,,,,,1.4829043290468601e-06,4.298179202774557e-07,1.823669893855991e-07,2.8047823099839665e-08,
25.09,,,,,,6.823913792027695e-07,1.2109458945450272e-07,1.0015782054863361e-07,,
25.82,,,,,,3.701010379844941e-07,8.972568840126751e-08,6.506344342572982e-08,,
26.55,,,,,,,1.0125836389696325e-07,,,
27.27,,,,,,2.3807953161841697e-07,3.894144036959848e-08,,,
28.0,,,,,,,,,,
