,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,,,,,,,,,
21.45,,,,,,,,,,
22.18,,,,,,,,,,
22.91,,,,,1.9228645367433295e-05,1.8541599371123867e-06,1.3192928403922195e-06,8.652830609906716e-07,,
23.64,,,,,1.3431027898142859e-05,1.6385689276628148e-06,9.546395291737562e-07,4.845415258349928e-07,,
24.36,,,,,6.590053854294796e-06,6.076063681883249e-07,2.8499113355130695e-07,1.7967439708484338e-07,9.705999014253471e-08,
25.09,,,,,,2.988708431744624e-07,1.4968167821809335e-07,,,
25.82,,,,,4.916397771130757e-06,2.7217677615119374e-07,1.3017723435581916e-07,1.3883756312428686e-07,,
26.55,,,,,,3.6320292278075864e-07,,1.0996156090858827e-07,,
27.27,,,,,,,1.3017723435581916e-07,,,
28.0,,,,,,,,,,
